property_id,lat,lng,addr_street,suburb,lga,closest_train_station_id,distance_to_closest_train_station,travel_min_to_MC,direct_journey_flag,30_sep_cases,last_14_days_cases,last_30_days_cases,last_60_days_cases
20820,-37.7606201,144.9604187,222 Albion st,BRUNSWICK,MARIBYRNONG,19967,0.073,18,1,22,7,5,3
39523,-37.690091,145.054551,118 Greenhills Road,BUNDOORA,WODONGA,19984,3.465,42,1,3,0,0,0
31687,-37.733467,145.037411,10 Tyler Street,PRESTON,BOROONDARA,19936,2.734,36,1,12,3,2,1
33507,-37.729158,145.007012,10 Edgar Street,RESERVOIR,EAST GIPPSLAND,20011,0.382,37,1,1,0,0,0
72228,-37.857139,145.264851,24 Wilhelma Avenue,BAYSWATER,INDIGO,19870,1.738,41,1,-1,0,0,0
41003,-37.705038,145.076152,62 Gleeson Drive,BUNDOORA,WODONGA,19984,0.941,42,1,3,0,0,0
79079,-37.9507294,145.1459198,40A Albert Avenue,SPRINGVALE,GREATER BENDIGO,19913,0.674,35,1,0,0,0,0
79976,-37.984326,145.167437,25 Coolibah Place,KEYSBOROUGH,KINGSTON,19890,2.075,40,1,13,4,2,1
75446,-37.901066,145.051677,76A Leila Road,CARNEGIE,MELBOURNE,19941,1.085,27,1,23,11,8,5
89861,-37.9555145,145.0606113,109 Wilson Street,CHELTENHAM,YARRA RANGES,19866,1.347,40,1,5,3,2,1
4742,-37.8486816,144.8685927,94C Maddox Road,NEWPORT,MANSFIELD,19994,1.475,not available,0,0,0,0,0
91790,-37.980912,145.039563,7 Rosemary Road,BEAUMARIS,TOWONG,19866,2.06,40,1,0,0,0,0
59676,-37.82941,145.198433,23 Walker Avenue,MITCHAM,PORT PHILLIP,19900,1.389,31,1,25,8,5,3
64025,-37.793057,145.291548,241 Dorset Road,CROYDON,CARDINIA,19878,0.998,42,1,25,10,5,3
84087,-37.8535645,144.9959648,49 Earl Street,WINDSOR,MAROONDAH,19957,0.442,not available,0,23,3,2,1
20660,-37.773409,144.963585,17E Charles Street,BRUNSWICK,MARIBYRNONG,19969,0.462,15,1,22,7,5,3
3630,-37.82166,144.882653,5 Lorne Street,YARRAVILLE,MITCHELL,19996,0.909,not available,0,14,5,3,1
84336,-37.84873,144.989004,73 Greville Street,PRAHRAN,BOROONDARA,19958,0.115,not available,0,12,3,2,1
6337,-37.777475,144.817388,1a Maylands Street (Albion),ALBION,MOIRA,20004,0.643,23,1,0,0,0,0
73301,-37.845808,145.298037,22 Pope Avenue,BORONIA,TOWONG,19869,2.022,44,1,0,0,0,0
34033,-37.72696,144.999305,18 Cameron Street,RESERVOIR,EAST GIPPSLAND,20011,0.345,37,1,1,0,0,0
41923,-37.7381859,145.0752411,248 Rosanna Road,ROSANNA,EAST GIPPSLAND,19936,0.955,36,1,1,0,0,0
45965,-37.713272,145.117127,21A Mayona Road,MONTMORENCY,PORT PHILLIP,19986,0.447,48,1,25,8,5,3
59164,-37.815176,145.166455,90 Luckie Street,NUNAWADING,STONNINGTON,19899,0.956,28,1,19,4,3,1
28174,-37.8001034,144.9755921,20-22 Bell Street,FITZROY,NILLUMBIK,19843,1.24,2,1,4,1,1,1
89739,-37.9692726,145.0567932,"1 Edward Street,",CHELTENHAM,YARRA RANGES,19866,0.351,40,1,5,3,2,1
60367,-37.845254,145.185656,1 Kalimna Street,VERMONT,CENTRAL GOLDFIELDS,19899,2.899,28,1,0,0,0,0
8282,-37.750759,144.784306,22 Homebush Road,CAIRNLEA,YARRA RANGES,20002,1.532,28,1,5,3,2,1
63009,-37.8349648,145.2477264,57 Dickasons Road,HEATHMONT,HORSHAM,19871,0.789,37,1,0,0,0,0
11544,-37.784752,144.89627,6 Ibis Place,MARIBYRNONG,BAW BAW,20027,1.031,not available,0,3,0,0,0
61387,-37.78289,145.251544,17 Federico Court,RINGWOOD,MACEDON RANGES,19878,2.909,42,1,1,1,1,0
92464,-37.979572,145.061148,9 Elizabeth Street,MENTONE,WEST WIMMERA,19865,0.435,43,1,0,0,0,0
4495,-37.8399315,144.8791504,48 Newcastle Street,NEWPORT,MANSFIELD,19994,0.499,not available,0,0,0,0,0
79823,-38.002522,145.144644,19/2-22 Breanne Place,KEYSBOROUGH,KINGSTON,19862,4.626,51,1,13,4,2,1
21757,-37.73685,144.979616,10 Rasmussen Court,COBURG,MOONEE VALLEY,19964,1.521,24,1,41,17,12,6
87696,-37.938574,145.015813,4 Langside Lane,HAMPTON,WYNDHAM,19949,1.26,not available,0,99,43,33,20
94049,-38.05679,145.128629,83 Broadway,BONBEACH,QUEENSCLIFFE,19859,1.04,56,1,0,0,0,0
88992,-37.9514542,145.0378113,7 Donald Street,HIGHETT,GREATER DANDENONG,19872,0.49,37,1,36,9,6,3
74131,-37.916141,145.285054,2 Callander Place,LYSTERFIELD,BALLARAT,19867,3.271,49,1,2,1,1,0
11607,-37.773586,144.87588,8 Flemming Avenue,MARIBYRNONG,BAW BAW,20022,3.072,16,1,3,0,0,0
4294,-37.847063,144.873148,25 Croker Street,NEWPORT,MANSFIELD,19994,1.037,not available,0,0,0,0,0
87377,-37.934682,145.019315,149 Ludstone Street,HAMPTON,WYNDHAM,19937,1.528,34,1,99,43,33,20
2285,-37.784115,144.879201,44 Cathcart Street,MAIDSTONE,BAW BAW,20023,2.04,14,1,3,0,0,0
19849,-37.6692963,144.9089966,81 Erinbank Crescent,WESTMEADOWS,LODDON,44817,1.762,35,1,0,0,0,0
45958,-37.714624,145.129692,20 Woodland Grove,MONTMORENCY,PORT PHILLIP,19986,0.723,48,1,25,8,5,3
11009,-37.76848,144.894072,1 Middle Road,MARIBYRNONG,BAW BAW,20038,2.227,14,1,3,0,0,0
85347,-37.876561,144.993354,2 Glen Eira Road,RIPPONLEA,WANGARATTA,19955,0.181,not available,0,0,0,0,0
22891,-37.7354469,144.9508209,5 Bishop Street,COBURG,MOONEE VALLEY,19964,1.078,24,1,41,17,12,6
2542,-37.808732,144.881455,84 Empress Avenue,KINGSVILLE,ALPINE,20023,0.842,14,1,0,0,0,0
69152,-37.8582535,145.0296478,40 Stanhope Street,MALVERN,BAW BAW,19944,0.89,17,1,3,0,0,0
63168,-37.7921066,145.2596893,1 Alec Street,CROYDON,CARDINIA,19878,1.874,42,1,25,10,5,3
20376,-37.764989,144.96743,11 Cooraminta Street,BRUNSWICK,MARIBYRNONG,19967,0.725,18,1,22,7,5,3
27002,-37.5958748,144.9329529,46 Dianne Avenue,CRAIGIEBURN,YARRA RANGES,40221,1.127,41,1,5,3,2,1
76961,-37.912636,145.126901,68 Marshall Avenue,CLAYTON,HINDMARSH,19915,1.451,30,1,0,0,0,0
43121,-37.72202,145.107588,38 Allima Avenue,YALLAMBIE,MAROONDAH,19986,1.435,48,1,23,3,2,1
37082,-37.634523,145.025369,21 San Cristobal Pass,EPPING,FRANKSTON,20005,2.03,51,1,3,3,2,1
84572,-37.879981,144.981753,107 Ruskin Street,ELWOOD,MORELAND,19955,1.267,not available,0,111,50,47,25
86441,-37.8981247,144.990387,26 North Road,BRIGHTON,HUME,19953,1.22,not available,0,332,214,155,80
81293,-37.992507,145.202998,43A Keneally Street,DANDENONG,CARDINIA,19888,0.654,45,1,25,10,5,3
61796,-37.8088875,145.2228699,32 Andrew Street,RINGWOOD,MACEDON RANGES,19902,0.945,35,1,1,1,1,0
93724,-37.987621,145.081165,8A Evan Street,PARKDALE,STONNINGTON,19864,0.74,45,1,19,4,3,1
52936,-37.826902,144.990242,3 Blanche Street,CREMORNE,WELLINGTON,19908,0.314,5,1,0,0,0,0
